dpt,slug,name,clean_name,real_name,postal_code,insee_code,long_deg,lat_deg
4,brusquet,LE BRUSQUET,le brusquet,Le Brusquet,4420,4036,6.3,44.15
4,caire,LE CAIRE,le caire,Le Caire,4250,4037,6.05,44.3667
4,sisteron,SISTERON,sisteron,Sisteron,4200,4209,5.93333,44.2
4,javie,LA JAVIE,la javie,La Javie,4420,4097,6.35,44.1667
4,noyers-sur-jabron,NOYERS-SUR-JABRON,noyers sur jabron,Noyers-sur-Jabron,4200,4139,5.83333,44.1667
4,lambruisse,LAMBRUISSE,lambruisse,Lambruisse,4170,4099,6.43333,44.05
4,condamine-chatelard,LA CONDAMINE-CHATELARD,la condamine chatelard,La Condamine-Châtelard,4530,4062,6.74584,44.4581
4,saint-jurs,SAINT-JURS,saint jurs,Saint-Jurs,4410,4184,6.2,43.9
4,banon,BANON,banon,Banon,4150,4018,5.63333,44.0333
4,venterol-04,VENTEROL,venterol,Venterol,5130,4234,6.1,44.45
4,castellet-les-sausses,CASTELLET-LES-SAUSSES,castellet les sausses,Castellet-lès-Sausses,4320,4042,6.76667,43.9833
4,manosque,MANOSQUE,manosque,Manosque,4100,4112,5.78333,43.8333
4,beaujeu-04,BEAUJEU,beaujeu,Beaujeu,4420,4024,6.36667,44.2
4,beauvezer,BEAUVEZER,beauvezer,Beauvezer,4370,4025,6.6,44.15
4,fugeret,LE FUGERET,le fugeret,Le Fugeret,4240,4090,6.63333,44
4,selonnet,SELONNET,selonnet,Selonnet,4460,4203,6.3,44.3667
4,senez,SENEZ,senez,Senez,4330,4204,6.4,43.9167
4,chateauredon,CHATEAUREDON,chateauredon,Châteauredon,4270,4054,6.21667,44.0167
4,saint-martin-de-bromes,SAINT-MARTIN-DE-BROMES,saint martin de bromes,Saint-Martin-de-Brômes,4800,4189,5.95,43.7667
4,roumoules,ROUMOULES,roumoules,Roumoules,4500,4172,6.13333,43.8333
4,piegut,PIEGUT,piegut,Piégut,5130,4150,6.11667,44.45
4,brunet,BRUNET,brunet,Brunet,4210,4035,6.03333,43.9
4,melve,MELVE,melve,Melve,4250,4118,5.98333,44.35
4,saint-julien-du-verdon,SAINT-JULIEN-DU-VERDON,saint julien du verdon,Saint-Julien-du-Verdon,4170,4183,6.53333,43.9167
4,draix,DRAIX,draix,Draix,4420,4072,6.35,44.1333
4,fontienne,FONTIENNE,fontienne,Fontienne,4230,4087,5.8,44.0167
4,hautes-duyes,HAUTES-DUYES,hautes duyes,Hautes-Duyes,4380,4177,6.15778,44.18
4,saint-vincent-sur-jabron,SAINT-VINCENT-SUR-JABRON,saint vincent sur jabron,Saint-Vincent-sur-Jabron,4200,4199,5.73333,44.1667
4,champtercier,CHAMPTERCIER,champtercier,Champtercier,4660,4047,6.16667,44.1
4,cereste,CERESTE,cereste,Céreste,4280,4045,5.58333,43.85
4,meailles,MEAILLES,meailles,Méailles,4240,4115,6.63333,44.0333
4,entrevennes,ENTREVENNES,entrevennes,Entrevennes,4700,4077,6.03333,43.9333
4,digne-les-bains,DIGNE-LES-BAINS,digne les bains,Digne-les-Bains,4000,4070,6.23639,44.0933
4,peipin,PEIPIN,peipin,Peipin,4200,4145,5.95,44.1333
4,thorame-haute,THORAME-HAUTE,thorame haute,Thorame-Haute,4170,4219,6.55,44.1
4,peyroules,PEYROULES,peyroules,Peyroules,4120,4148,6.63333,43.8167
4,revest-des-brousses,REVEST-DES-BROUSSES,revest des brousses,Revest-des-Brousses,4150,4162,5.66667,43.9667
4,greoux-les-bains,GREOUX-LES-BAINS,greoux les bains,Gréoux-les-Bains,4800,4094,5.88333,43.75
4,saint-martin-les-seyne,SAINT-MARTIN-LES-SEYNE,saint martin les seyne,Saint-Martin-lès-Seyne,4140,4191,6.25667,44.3856
4,bayons,BAYONS,bayons,Bayons,4250,4023,6.16667,44.3333
4,sainte-croix-a-lauze,SAINTE-CROIX-A-LAUZE,sainte croix a lauze,Sainte-Croix-à-Lauze,4110,4175,5.61667,43.9167
4,barras,BARRAS,barras,Barras,4380,4021,6.11667,44.1
4,saint-pons-04,SAINT-PONS,saint pons,Saint-Pons,4400,4195,6.62778,44.3923
4,curbans,CURBANS,curbans,Curbans,5110,4066,6.03333,44.4333
4,villars-colmars,VILLARS-COLMARS,villars colmars,Villars-Colmars,4640,4240,6.6,44.1667
